date,sapporo,wakkanai,abashiri,obihiro,aomori,fukaura,hachinohe,morioka,ofunato,miyako,akita,yuzawa,noshiro,ishinomaki,sendai,shinjo,yamagata,sakaida,wakamatsu,fukushima,shirakawa,onahama,mito,tsukuba,okunikko,utsunomiya,kumagaya,chichibu,maebashi,kusatsu,niigata,takada,tokyo,hachioji,choshi,chiba,katsuura,maihama,odawara,kofu,kawaguchik,nagano,iida,matsumoto,suwa,toyama,fushiki,wajima,kanazawa,mishima,shizuoka,hamamatsu,takayama,gihu,nagoya,irako,fukui,tsuruga,hikone,otsu,ueno,yokkaichi,owase,nara,kamikitayam,wakayama,shionomisa,osaka,kumadori,maiduru,kyoto,tomioka,himeji,kobe,tottori,yoneko,tsuyama,okayama,takamatsu,tadotsu,tokushima,ikeda,sukumo,kochi,murotomisa,matsue,hamada,hiroshima,fukuyama,yamaguchi,shimonosek,ogi,matsuyama,uwajima,iiduka,fukuoka,hita,oita,miyakonojo,miyazaki,nobeoka,saga,karatsu,kumamoto,asozan,hitoyoshi,ushibuka,tanegashima,makurazaki,kagoshima,akune,kimotsukim,naha,saseho,nagasaki,unzendake,hirato
2014/1/1,13.5,5,0,0.5,16,16.5,3,31.5,1.5,0.5,7,26,5.5,1.5,5,43.5,21,28.5,10,0,0,0,0,0,0,0,0,0,0,0.5,0,39,0,0,0,0,0,0,0,0,0,3.5,0,0,0,25.5,24,20.5,23.5,0,0,0,4.5,1,0,0,18.5,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/2,4,0.5,3,0,0.5,0,0,2,4.5,1,1.5,5,2,2,3.5,10.5,9.5,5,17,5,0.5,0,0,0,0,0,0,0,0,3,0,11.5,0,0,0,0,0,0,0,0,0,6.5,0,0,0,6.5,11,8.5,1.5,0,0,0,7.5,0,0,0,3,2,1.5,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/3,1,3.5,0,0.5,10.5,17.5,1.5,4.5,0,0,17,7,6,0,0,8.5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,4.5,1,1.5,0,3,36.5,0,0,0,0
2014/1/4,17.5,7.5,3.5,0,5.5,1,0,0,0,0,0,10.5,0.5,0,0,13.5,1.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0.5,16,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,8,6.5,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2014/1/5,3,3,0.5,0,2.5,1.5,0,0,0,0,0.5,11,3.5,0,0,13.5,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.5,0,0,1,4,5.5,0,0,0.5,2,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1
2014/1/6,1,4.5,0.5,0,0.5,1,0,0,0,0,6,6.5,3,0,0,8.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/1/7,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014/1/8,3,0.5,2.5,0,4.5,13.5,1,0,0,0,7.5,4.5,5.5,1.5,2.5,8,1,17.5,4.5,3.5,10.5,15,15.5,15.5,8,7.5,5,3.5,3.5,9,0,11,15.5,12,49,18,70.5,20,18.5,10.5,19.5,10,10,16,18.5,15.5,15.5,23.5,9.5,22,26.5,26.5,22,25,20.5,25,13,22.5,33,35.5,31,24.5,41,35,38.5,32.5,45.5,31,37,23.5,30,16.5,14,20,18.5,23,13,15.5,21.5,19,19.5,0,18,21,33,21.5,27,18,13,20.5,20.5,24,19,11,22.5,25.5,24.5,18,13,9,5,20,27.5,13.5,21,21.5,24.5,9,9,19,10.5,7.5,2.5,23,16.5,20,34.5
2014/1/9,1,4.5,1.5,0,10,0.5,0.5,1,3.5,5,3.5,4.5,0,9,4.5,6,4.5,4,2,4,2,6.5,6,4.5,0.5,0.5,0,0,0.5,1,0,37.5,4,1,16.5,10,13.5,5,10.5,1,1,2.5,0.5,2,2,16,11.5,9.5,7,9.5,4.5,2,1.5,0,0,0.5,6.5,2,0.5,0.5,2.5,0.5,0.5,2,0,2,0,1.5,1.5,44,0,39.5,0,0,43.5,23,0,0,0,0,2.5,16,1,0,0,37,15.5,1,0,19,1,11.5,0.5,2,0.5,0,0.5,0,0,0,0,0,0,0,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0
2014/1/10,0,9.5,1.5,0,8.5,1.5,0,0,0,0,3.5,7.5,2.5,0,0,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,11.5,0,0,0,0,0,0,0,10,10.5,1,1,0,0,0,0,0,0,0,0,0,2,0,9.5,0,0,8.5,2.5,0,0,0,0,0.5,3,1.5,0,0,5,3,0,0,5.5,0,0,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
